order_id,customer_id,product_id,quantity,total_amount
ORD_2401,CUST_0184,PROD_0018,-1,73325
ORD_2402,CUST_0132,PROD_0256,2,97426
ORD_2403,CUST_0093,PROD_0007,-1,abc
ORD_2404,CUST_0340,PROD_0104,3,abc
ORD_2405,CUST_0263,PROD_0267,3,abc
ORD_2406,CUST_0082,PROD_0234,1,abc
ORD_2407,CUST_0169,PROD_0350,3,abc
ORD_2408,CUST_0043,PROD_0213,2,abc
ORD_2409,CUST_0008,PROD_0165,1,21264
ORD_2410,CUST_0304,PROD_0142,1,10023
ORD_2411,CUST_0199,PROD_0223,1,abc
ORD_2412,CUST_0008,PROD_0159,-1,abc
ORD_2413,CUST_0321,PROD_0207,-1,33633
ORD_2414,CUST_0088,PROD_0095,-1,64085
ORD_2415,CUST_0093,PROD_0344,2,abc
ORD_2416,CUST_0317,PROD_0272,1,17555
ORD_2417,CUST_0215,PROD_0253,2,abc
ORD_2418,CUST_0032,PROD_0036,2,43671
ORD_2419,CUST_0012,PROD_0332,2,97207
ORD_2420,CUST_0278,PROD_0228,2,abc
ORD_2421,CUST_0163,PROD_0273,2,abc
ORD_2422,CUST_0017,PROD_0286,2,58207
ORD_2423,CUST_0136,PROD_0187,1,abc
ORD_2424,CUST_0128,PROD_0107,1,abc
ORD_2425,CUST_0116,PROD_0296,3,94013
ORD_2426,CUST_0078,PROD_0259,2,30041
ORD_2427,CUST_0041,PROD_0346,2,8679
ORD_2428,CUST_0146,PROD_0205,-1,abc
ORD_2429,CUST_0040,PROD_0173,-1,abc
ORD_2430,CUST_0007,PROD_0258,2,48555
ORD_2431,CUST_0033,PROD_0132,3,abc
ORD_2432,CUST_0208,PROD_0014,3,58778
ORD_2433,CUST_0281,PROD_0274,1,abc
ORD_2434,CUST_0342,PROD_0087,-1,25141
ORD_2435,CUST_0031,PROD_0239,2,abc
ORD_2436,CUST_0219,PROD_0044,1,abc
ORD_2437,CUST_0134,PROD_0182,-1,87738
ORD_2438,CUST_0313,PROD_0094,1,42040
ORD_2439,CUST_0282,PROD_0242,2,abc
ORD_2440,CUST_0109,PROD_0266,3,94465
ORD_2441,CUST_0256,PROD_0331,1,35363
ORD_2442,CUST_0151,PROD_0324,3,abc
ORD_2443,CUST_0199,PROD_0241,-1,38283
ORD_2444,CUST_0223,PROD_0015,3,abc
ORD_2445,CUST_0003,PROD_0265,1,25099
ORD_2446,CUST_0137,PROD_0250,-1,90361
ORD_2447,CUST_0134,PROD_0205,-1,80662
ORD_2448,CUST_0304,PROD_0035,2,12477
ORD_2449,CUST_0215,PROD_0293,-1,55634
ORD_2450,CUST_0060,PROD_0172,2,71813
ORD_2451,CUST_0225,PROD_0331,-1,88061
ORD_2452,CUST_0160,PROD_0065,-1,66739
ORD_2453,CUST_0043,PROD_0114,-1,abc
ORD_2454,CUST_0228,PROD_0134,2,abc
ORD_2455,CUST_0309,PROD_0144,1,abc
ORD_2456,CUST_0248,PROD_0174,-1,84139
ORD_2457,CUST_0048,PROD_0068,3,abc
ORD_2458,CUST_0117,PROD_0061,-1,85633
ORD_2459,CUST_0083,PROD_0148,1,14034
ORD_2460,CUST_0193,PROD_0113,1,abc
ORD_2461,CUST_0273,PROD_0281,3,82164
ORD_2462,CUST_0317,PROD_0075,3,abc
ORD_2463,CUST_0027,PROD_0304,-1,abc
ORD_2464,CUST_0156,PROD_0280,3,48113
ORD_2465,CUST_0306,PROD_0338,2,6060
ORD_2466,CUST_0325,PROD_0128,1,97365
ORD_2467,CUST_0023,PROD_0250,1,abc
ORD_2468,CUST_0194,PROD_0072,3,20586
ORD_2469,CUST_0223,PROD_0165,3,71055
ORD_2470,CUST_0050,PROD_0305,3,abc
ORD_2471,CUST_0318,PROD_0173,2,abc
ORD_2472,CUST_0173,PROD_0095,2,abc
ORD_2473,CUST_0056,PROD_0233,-1,16203
ORD_2474,CUST_0097,PROD_0347,3,abc
ORD_2475,CUST_0052,PROD_0134,2,abc
ORD_2476,CUST_0161,PROD_0035,-1,58988
ORD_2477,CUST_0029,PROD_0082,2,55340
ORD_2478,CUST_0165,PROD_0260,-1,81561
ORD_2479,CUST_0191,PROD_0221,-1,8922
ORD_2480,CUST_0146,PROD_0139,-1,49789
ORD_2481,CUST_0182,PROD_0210,1,21825
ORD_2482,CUST_0218,PROD_0068,3,abc
ORD_2483,CUST_0109,PROD_0183,-1,abc
ORD_2484,CUST_0117,PROD_0097,2,19720
ORD_2485,CUST_0212,PROD_0162,-1,23965
ORD_2486,CUST_0087,PROD_0024,3,abc
ORD_2487,CUST_0207,PROD_0173,2,19359
ORD_2488,CUST_0291,PROD_0043,1,abc
ORD_2489,CUST_0321,PROD_0173,-1,abc
ORD_2490,CUST_0051,PROD_0154,3,abc
ORD_2491,CUST_0100,PROD_0322,-1,abc
ORD_2492,CUST_0320,PROD_0207,-1,85957
ORD_2493,CUST_0001,PROD_0265,1,13749
ORD_2494,CUST_0191,PROD_0082,2,abc
ORD_2495,CUST_0203,PROD_0108,3,522
ORD_2496,CUST_0089,PROD_0221,1,abc
ORD_2497,CUST_0236,PROD_0004,1,73181
ORD_2498,CUST_0319,PROD_0032,3,abc
ORD_2499,CUST_0230,PROD_0308,1,59563
ORD_2500,CUST_0158,PROD_0323,3,83856
ORD_2501,CUST_0339,PROD_0158,2,90897
ORD_2502,CUST_0097,PROD_0070,3,abc
ORD_2503,CUST_0057,PROD_0006,1,abc
ORD_2504,CUST_0218,PROD_0023,3,abc
ORD_2505,CUST_0126,PROD_0204,1,66569
ORD_2506,CUST_0184,PROD_0300,2,78182
ORD_2507,CUST_0346,PROD_0340,3,56920
ORD_2508,CUST_0226,PROD_0300,-1,19319
ORD_2509,CUST_0305,PROD_0284,3,abc
ORD_2510,CUST_0233,PROD_0129,-1,31220
ORD_2511,CUST_0103,PROD_0040,3,29095
ORD_2512,CUST_0231,PROD_0103,1,abc
ORD_2513,CUST_0097,PROD_0126,2,34569
ORD_2514,CUST_0182,PROD_0219,2,abc
ORD_2515,CUST_0098,PROD_0322,3,38629
ORD_2516,CUST_0167,PROD_0350,2,27391
ORD_2517,CUST_0284,PROD_0108,-1,28479
ORD_2518,CUST_0025,PROD_0043,3,abc
ORD_2519,CUST_0067,PROD_0304,3,abc
ORD_2520,CUST_0315,PROD_0128,-1,34892
ORD_2521,CUST_0236,PROD_0192,1,abc
ORD_2522,CUST_0177,PROD_0150,2,72992
ORD_2523,CUST_0236,PROD_0327,2,10422
ORD_2524,CUST_0143,PROD_0184,3,abc
ORD_2525,CUST_0346,PROD_0035,-1,abc
ORD_2526,CUST_0025,PROD_0140,3,47653
ORD_2527,CUST_0285,PROD_0030,2,87374
ORD_2528,CUST_0143,PROD_0334,-1,81915
ORD_2529,CUST_0013,PROD_0081,3,abc
ORD_2530,CUST_0219,PROD_0341,2,80356
ORD_2531,CUST_0165,PROD_0346,2,abc
ORD_2532,CUST_0136,PROD_0330,1,75083
ORD_2533,CUST_0059,PROD_0058,1,abc
ORD_2534,CUST_0317,PROD_0159,-1,abc
ORD_2535,CUST_0195,PROD_0032,-1,99519
ORD_2536,CUST_0176,PROD_0291,2,82139
ORD_2537,CUST_0250,PROD_0247,2,abc
ORD_2538,CUST_0126,PROD_0125,3,abc
ORD_2539,CUST_0196,PROD_0198,2,abc
ORD_2540,CUST_0012,PROD_0295,-1,abc
ORD_2541,CUST_0235,PROD_0228,3,abc
ORD_2542,CUST_0288,PROD_0326,-1,abc
ORD_2543,CUST_0290,PROD_0049,-1,98679
ORD_2544,CUST_0251,PROD_0321,-1,87776
ORD_2545,CUST_0219,PROD_0087,3,abc
ORD_2546,CUST_0343,PROD_0061,3,abc
ORD_2547,CUST_0318,PROD_0272,3,25422
ORD_2548,CUST_0112,PROD_0217,1,86693
ORD_2549,CUST_0045,PROD_0041,3,37632
ORD_2550,CUST_0104,PROD_0108,3,abc
ORD_2551,CUST_0138,PROD_0233,1,84157
ORD_2552,CUST_0298,PROD_0098,2,41619
ORD_2553,CUST_0155,PROD_0311,2,abc
ORD_2554,CUST_0324,PROD_0211,-1,53712
ORD_2555,CUST_0114,PROD_0305,-1,28307
ORD_2556,CUST_0189,PROD_0038,2,11573
ORD_2557,CUST_0181,PROD_0304,3,abc
