product_id,product_name,product_category,product_price
PROD_1801,Republican,Electronics,3643
PROD_1802,city,Furniture,abc
PROD_1803,,Electronics,81925
PROD_1804,boy,Clothing,68466
PROD_1805,notice,Clothing,33123
PROD_1806,billion,Clothing,-999
PROD_1807,finish,Furniture,88636
PROD_1808,pretty,Electronics,70322
PROD_1809,think,Books,-999
PROD_1810,kid,Electronics,-999
PROD_1811,Democrat,Furniture,abc
PROD_1812,drop,Books,abc
PROD_1813,growth,Clothing,23243
PROD_1814,send,Clothing,-999
PROD_1815,amount,Furniture,-999
PROD_1816,next,Books,abc
PROD_1817,bank,Clothing,-999
PROD_1818,particularly,Furniture,91222
PROD_1819,trade,Electronics,30161
PROD_1820,near,Books,81620
PROD_1821,agent,Clothing,abc
PROD_1822,customer,Furniture,abc
PROD_1823,rule,Clothing,80717
PROD_1824,significant,Electronics,-999
PROD_1825,,Books,29916
PROD_1826,trial,Books,-999
PROD_1827,able,Clothing,18948
PROD_1828,strong,Clothing,24679
PROD_1829,team,Books,-999
PROD_1830,away,Furniture,-999
PROD_1831,eight,Books,abc
PROD_1832,half,Electronics,-999
PROD_1833,low,Books,-999
PROD_1834,,Furniture,-999
PROD_1835,day,Electronics,abc
PROD_1836,,Electronics,-999
PROD_1837,,Clothing,abc
PROD_1838,suffer,Electronics,44041
PROD_1839,statement,Books,abc
PROD_1840,protect,Books,abc
PROD_1841,name,Electronics,abc
PROD_1842,teacher,Clothing,65966
PROD_1843,road,Furniture,-999
PROD_1844,,Electronics,abc
PROD_1845,computer,Electronics,-999
PROD_1846,environmental,Furniture,abc
PROD_1847,sign,Books,abc
PROD_1848,because,Electronics,abc
PROD_1849,kid,Books,abc
PROD_1850,everyone,Books,-999
PROD_1851,pick,Furniture,abc
PROD_1852,continue,Electronics,-999
PROD_1853,player,Electronics,-999
PROD_1854,my,Books,-999
PROD_1855,,Electronics,-999
PROD_1856,force,Books,abc
PROD_1857,even,Clothing,-999
PROD_1858,choice,Electronics,abc
PROD_1859,,Furniture,abc
PROD_1860,focus,Furniture,6850
PROD_1861,democratic,Clothing,-999
PROD_1862,agent,Books,abc
PROD_1863,kid,Clothing,40720
PROD_1864,base,Electronics,abc
PROD_1865,set,Furniture,71765
PROD_1866,man,Books,-999
PROD_1867,drive,Electronics,82679
PROD_1868,animal,Clothing,-999
PROD_1869,evidence,Electronics,abc
PROD_1870,set,Furniture,73757
PROD_1871,build,Electronics,-999
PROD_1872,mean,Electronics,-999
PROD_1873,treatment,Books,33458
PROD_1874,capital,Clothing,abc
PROD_1875,best,Furniture,5008
PROD_1876,,Furniture,69664
PROD_1877,short,Electronics,88650
PROD_1878,debate,Electronics,abc
PROD_1879,school,Clothing,-999
PROD_1880,state,Electronics,abc
PROD_1881,worker,Books,-999
PROD_1882,meeting,Clothing,-999
PROD_1883,sit,Books,-999
PROD_1884,compare,Furniture,-999
PROD_1885,society,Clothing,-999
PROD_1886,,Books,59767
PROD_1887,society,Books,97164
PROD_1888,,Clothing,43810
PROD_1889,statement,Furniture,-999
PROD_1890,two,Books,-999
PROD_1891,often,Furniture,-999
PROD_1892,great,Books,79755
PROD_1893,industry,Clothing,87539
PROD_1894,onto,Furniture,abc
PROD_1895,system,Furniture,abc
PROD_1896,seat,Clothing,35058
PROD_1897,,Electronics,-999
PROD_1898,per,Furniture,abc
PROD_1899,,Books,50042
PROD_1900,this,Furniture,abc
PROD_1901,scientist,Furniture,76057
PROD_1902,write,Clothing,97648
PROD_1903,act,Books,27471
