project_name,project_id,issue_id,issue_type,severity,package,version,fixed_in,exploit_maturity,disclosure_time,cvss_score
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,16547,vulnerability,critical,mysql2,3.2.0,3.9.7,mature,2022-08-30T00:00:00Z,9.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,88393,vulnerability,medium,request,2.88.2,,no-known-exploit,2021-02-16T00:00:00Z,6.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,55d58,vulnerability,critical,vm2,3.9.11,3.9.19,mature,2020-02-20T00:00:00Z,10.0
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,b7e06,vulnerability,high,multer,1.4.4,1.4.5,proof-of-concept,2021-10-15T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,acd30,vulnerability,critical,jsonwebtoken,8.5.1,9.0.0,mature,2023-08-02T00:00:00Z,9.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,5b7d4,vulnerability,high,sharp,0.30.7,0.32.6,mature,2020-06-28T00:00:00Z,8.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,3fd36,vulnerability,medium,axios,0.21.1,0.21.2,proof-of-concept,2022-03-20T00:00:00Z,6.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,c1d7a,license,high,proprietary-sdk,1.0.0,,no-known-exploit,2023-06-29T00:00:00Z,
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,16166,license,medium,gpl-3.0-module,2.1.0,,no-known-exploit,2023-06-29T00:00:00Z,
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,b2c89,vulnerability,medium,axios,0.21.1,0.21.2,proof-of-concept,2022-08-16T00:00:00Z,6.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,6d63f,vulnerability,medium,axios,0.21.1,0.21.2,proof-of-concept,2020-03-03T00:00:00Z,6.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,113b4,vulnerability,high,sharp,0.30.7,0.32.6,mature,2021-04-23T00:00:00Z,8.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,e9da2,vulnerability,medium,socket.io-parser,4.2.1,4.2.3,proof-of-concept,2022-12-14T00:00:00Z,6.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,8ec4c,vulnerability,high,express,4.16.4,4.18.2,proof-of-concept,2023-09-07T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,1d6e1,vulnerability,medium,axios,0.27.2,1.6.0,mature,2021-10-05T00:00:00Z,6.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,99cf6,vulnerability,high,sharp,0.30.7,0.32.6,mature,2024-02-21T00:00:00Z,8.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,fb2a8,vulnerability,critical,vm2,3.9.11,3.9.19,mature,2020-10-02T00:00:00Z,10.0
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,1c493,vulnerability,critical,mysql2,3.2.0,3.9.7,mature,2023-03-11T00:00:00Z,9.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,715f9,vulnerability,high,json5,2.2.1,2.2.2,proof-of-concept,2024-04-02T00:00:00Z,8.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,0ff17,vulnerability,high,nth-check,1.0.2,2.0.1,no-known-exploit,2020-06-24T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,8112b,vulnerability,high,json5,2.2.1,2.2.2,proof-of-concept,2021-09-25T00:00:00Z,8.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,bf30a,vulnerability,medium,request,2.88.2,,no-known-exploit,2021-05-30T00:00:00Z,6.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,01f77,vulnerability,high,moment,2.29.3,2.29.4,no-known-exploit,2023-09-14T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,baf88,vulnerability,medium,axios,0.27.2,1.6.0,mature,2021-12-13T00:00:00Z,6.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,4d707,vulnerability,high,word-wrap,1.2.3,1.2.4,no-known-exploit,2022-02-06T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,3d196,vulnerability,medium,axios,0.27.2,1.6.0,mature,2022-11-07T00:00:00Z,6.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,aa814,vulnerability,medium,axios,0.21.1,0.21.2,proof-of-concept,2020-02-14T00:00:00Z,6.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,8001d,vulnerability,high,tar,6.1.11,6.1.13,mature,2020-03-29T00:00:00Z,8.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,0adf1,vulnerability,high,passport,0.5.3,0.6.0,no-known-exploit,2020-05-20T00:00:00Z,8.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,76a4f,license,low,bsd-restricted,2.3.4,,no-known-exploit,2021-11-05T00:00:00Z,
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,c8459,vulnerability,high,nth-check,1.0.2,2.0.1,no-known-exploit,2022-04-19T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,602c0,vulnerability,critical,jsonwebtoken,8.5.1,9.0.0,mature,2021-11-26T00:00:00Z,9.8
