scan_date,project_key,branch,type,severity,file,line,message,rule,status,effort,debt,tags
2025-05-05T08:30:00Z,syngenta-pim-core,main,VULNERABILITY,MINOR,src/util/DateUtils.java,655,Empty catch block suppresses exception,java:S3649,REOPENED,73min,73min,"security,deserialization"
2025-05-05T08:30:00Z,syngenta-pim-core,feature/ai-enrichment,VULNERABILITY,MAJOR,src/catalog/ProductCatalogService.java,606,Empty catch block suppresses exception,java:S1874,CONFIRMED,79min,79min,"security,auth"
2025-05-05T08:30:00Z,syngenta-pim-core,main,CODE_SMELL,MAJOR,src/batch/ProductImportJob.java,882,Missing Javadoc for public method,java:S1541,REOPENED,40min,40min,"security,xxe"
2025-05-05T08:30:00Z,syngenta-pim-core,feature/ai-enrichment,CODE_SMELL,CRITICAL,src/api/ProductController.java,264,Cyclomatic complexity 28 exceeds threshold of 20,java:S107,REOPENED,79min,79min,bug
2025-05-05T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,CRITICAL,src/pricing/PricingCalculator.java,830,Duplicated string literal appears 5 times,java:S2162,CONFIRMED,67min,67min,"security,owasp-a9"
2025-05-05T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/export/PdfExportService.java,878,Null pointer dereference: method may return null,java:S2972,OPEN,58min,58min,"security,owasp-a9"
2025-05-05T08:30:00Z,syngenta-pim-core,develop,BUG,MINOR,src/util/DateUtils.java,71,Method has 12 parameters (threshold: 7),java:S2583,OPEN,28min,28min,"security,injection"
2025-05-05T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,INFO,src/catalog/CategoryService.java,575,Deserialization of user-controlled data without validation,java:S1643,OPEN,46min,46min,"bug,concurrency"
2025-05-05T08:30:00Z,syngenta-pim-core,main,VULNERABILITY,CRITICAL,src/auth/UserService.java,749,XXE vulnerability: XML parser does not disable external entities,java:S4502,OPEN,34min,34min,"bug,concurrency"
2025-05-05T08:30:00Z,syngenta-pim-core,feature/ai-enrichment,VULNERABILITY,MINOR,src/model/Variant.java,442,Null pointer dereference: method may return null,java:S1176,REOPENED,76min,76min,"maintainability,deprecated"
2025-05-05T08:30:00Z,syngenta-pim-core,main,VULNERABILITY,MINOR,src/model/Variant.java,534,Empty catch block suppresses exception,java:S2229,OPEN,88min,88min,"security,xxe"
2025-05-05T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MINOR,src/model/Category.java,915,Null pointer dereference: method may return null,java:S1192,OPEN,61min,61min,"security,deserialization"
2025-05-05T08:30:00Z,syngenta-pim-core,feature/ai-enrichment,CODE_SMELL,MAJOR,src/catalog/ProductCatalogService.java,253,Weak hash algorithm MD5 used for product fingerprinting,java:S1541,REOPENED,25min,25min,"security,sql-injection"
2025-05-05T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MINOR,src/catalog/ProductCatalogService.java,130,Thread.sleep() called with lock held,java:S1643,OPEN,70min,70min,"security,xxe"
2025-05-05T08:30:00Z,syngenta-pim-core,feature/ai-enrichment,VULNERABILITY,INFO,src/export/CsvExportService.java,835,Optional.get() called without isPresent() check,java:S1541,OPEN,52min,52min,maintainability
2025-05-05T08:30:00Z,syngenta-pim-core,feature/ai-enrichment,VULNERABILITY,MAJOR,src/model/Category.java,417,Incorrect equals() implementation breaks Set deduplication,java:S2184,CONFIRMED,55min,55min,"security,credentials"
2025-05-05T08:30:00Z,syngenta-pim-core,main,VULNERABILITY,MINOR,src/config/SecurityConfig.java,674,Empty catch block suppresses exception,java:S2162,REOPENED,46min,46min,"bug,numeric"
2025-05-05T08:30:00Z,syngenta-pim-core,feature/ai-enrichment,CODE_SMELL,MINOR,src/catalog/ProductRepository.java,728,Method has 12 parameters (threshold: 7),java:S4790,OPEN,52min,52min,"bug,concurrency"
2025-05-05T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MINOR,src/catalog/ProductCatalogService.java,857,JWT token validated without expiry check,java:S2229,OPEN,67min,67min,"security,cryptography"
2025-05-05T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MINOR,src/api/CategoryController.java,740,Deserialization of user-controlled data without validation,java:S2885,OPEN,34min,34min,maintainability
2025-05-05T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,INFO,src/sync/ExternalSyncJob.java,309,Incorrect equals() implementation breaks Set deduplication,java:S1176,CONFIRMED,43min,43min,"security,deserialization"
2025-05-05T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,CRITICAL,src/enrichment/AiEnrichmentService.java,273,Magic number 86400 should be extracted as a named constant,java:S109,REOPENED,61min,61min,security
2025-05-05T08:30:00Z,syngenta-pim-core,feature/ai-enrichment,BUG,MAJOR,src/util/StringSanitizer.java,788,Unused private field should be removed,java:S1874,REOPENED,34min,34min,"security,injection"
